Barkod,Ürün Adı,Maliyet (TL),Kargo (TL),Komisyon (%)
AYT002LAJA1702,El Yapımı Bakır Bileklik | Etnik Desenli UV Baskı | Unisex Tasarım,232.0,100.0,22.5
AYT002LAJA1709,El Yapımı Bakır Bileklik | Etnik Desenli UV Baskı | Unisex Tasarım,232.0,100.0,22.5
AYT002LAJA1707,El Yapımı Bakır Bileklik | Etnik Desenli UV Baskı | Unisex Tasarım,232.0,100.0,22.5
AYT001IMT0004K40,klasik inci choker kolye,79.60000000000001,100.0,22.5
AYT003INCI002540,"Doğal inci set, Kolye Bileklik Küpe inci takım",1000.0,100.0,22.5
AYT001INCI001540,"Doğal inci kolye, el yapımı, hematit detaylı, paslanmaz çelik malzemeler",760.0,100.0,22.5
AYT003INCI0002440,Doğal Inci Kolye Bileklik Set Hematit Taş Detaylı,996.0,100.0,22.5
AYT002CLK000318,İnce hasır zincir detaylı su yolu çelik bileklik,159.6,100.0,22.5
AYT006BKR0009,"BAKIR YÜZÜK, El Yapımı %100 Bakır",128.10333333333332,100.0,22.5
AYT002BKR0009,"BAKIR BİLEZİK, El Yapımı %100 Bakır",190.0,100.0,22.5
AYT002BKR0008,"BAKIR BİLEZİK, El Yapımı %100 Bakır",190.0,100.0,22.5
AYT002BKR0007,"BAKIR BİLEZİK, El Yapımı %100 Bakır",190.0,100.0,22.5
AYT003INCI002145,Doğal Turkuaz Taşlı İri Barok İnci Kolye Bileklik Seti,760.0,100.0,22.5
AYT003INCI002345,Doğal Amazonit Taşlı İri Barok İnci Kolye Bileklik Seti,760.0,100.0,22.5
AYT003INCI002245,Doğal Ametist Taşlı İri Barok İnci Kolye Bileklik Seti,760.0,100.0,22.5
AYT003INCI002045,Doğanın Zarafeti: Hakiki Mercan ve Barok İnci Takı Seti,760.0,100.0,22.5
AYT003INCI001845,Modern Minimalist Altın Renk Paslanmaz Çelik İnci Detaylı Takı Seti,640.0,100.0,22.5
AYT003INCI001945,Modern Minimalist Gümüş Renk Paslanmaz Çelik İnci Detaylı Takı Seti,640.0,100.0,22.5
AYT003INCI0017G40,"Doğal Çubuk Barok İnci, Gümüş Kalpli Kolye & Bileklik Seti",2320.0,100.0,22.5
AYT003INCI0016A40,"Doğal Çubuk Barok İnci, Altın Kaplama Gümüş Kalpli Kolye & Bileklik Seti",2320.0,100.0,22.5
AYT003INCI0015G40,"Doğal Barok İnci Set, Gümüş Kalpli Kolye & Bileklik Seti",5519.599999999999,100.0,22.5
AYT003INCI001440,"Doğal Barok İnci Set, Gümüş Gemici Kilitli Kolye & Küpe Seti",3500.0,100.0,22.5
AYT001INCI0013A45,Doğal İnci ve Paslanmaz Çelik Detaylı Kolye,1200.0,100.0,22.5
AYT001INCI0013G45,Doğal İnci ve Paslanmaz Çelik Detaylı Kolye,1200.0,100.0,22.5
AYT001INCI0014A45,Doğal Siyah İnci ve Paslanmaz Çelik Detaylı Kolye,1280.0,100.0,22.5
AYT001INCI0014G45,Doğal Siyah İnci ve Paslanmaz Çelik Detaylı Kolye,1280.0,100.0,22.5
AYT001INCI0001245,"Doğal siyah inci kolye, minimalist zerafetin siyah incisi",1280.0,100.0,22.5
AYT001INCI00011,"Doğal inci kolye, minimalist zerafetin incisi",1160.0,100.0,22.5
AYT001INCI00010A45,"Doğal siyah inci kolye, paslanmaz çelik zincir ve O-T kapama kombinli",900.0,100.0,22.5
AYT001INCI00010G45,"Doğal siyah inci kolye, paslanmaz çelik zincir ve O-T kapama kombinli",900.0,100.0,22.5
AYT001INCI0009A45,"Doğal İnci Kolye, Paslanmaz Çelik Zincir ve O-T kapama kombinli",799.6,100.0,22.5
AYT001INCI0009G45,"Doğal İnci Kolye, Paslanmaz Çelik Zincir ve O-T kapama kombinli",799.6,100.0,22.5
AYT003INCI001340,"Doğal inci set, gümüş renk paslanmaz çelik istiridye detaylı, kolye bileklik ve küpe seti",1400.0,100.0,22.5
AYT003INCI001240,"Doğal inci set, altın renk paslanmaz çelik istiridye detaylı, kolye bileklik ve küpe seti",1400.0,100.0,22.5
AYT003IMT02040,"İnci set, zirkon taşlı rondela ve paslanmaz çelik klips ve zincir detaylı Kolye Bileklik Küpe Set",139.6,100.0,22.5
AYT001IMT000440,klasik inci choker kolye,79.60000000000001,100.0,22.5
AYT001IMT000340,barok inci kolye altın top detaylı,79.60000000000001,100.0,22.5
AYT001IMT000240,inci kolye zarif istiridye uç detaylı,79.60000000000001,100.0,22.5
AYT001IMT0001B40,inci kolye zarif kalp detaylı,79.60000000000001,100.0,22.5
AYT001IMT0001S40,inci kolye zarif kalp detaylı,79.60000000000001,100.0,22.5
AYT001CLK0002A,"Sonsuzluğa Sarılan Sevgili Kolyesi, Paslanmaz Çelik",130.0,100.0,22.5
AYT002CLK0002A,Zirkon Taşlı 316L Çelik Kelepçe,196.0,100.0,22.5
AYT003IMT017A40,"İnci Kolye Bileklik Küpe  Set, Paslanmaz Çelik İstiridye Uçlu, Altın Rengi",174.0,100.0,22.5
AYT003IMT016G40,"İnci Kolye Bileklik Küpe  Set, Paslanmaz Çelik İstiridye Uçlu, Gümüş Rengi",174.0,100.0,22.5
